
2Co 7:12	⸀ἕνεκεν WH Treg NIV ] εἵνεκεν RP • οὐδὲ Treg NIV RP] ἀλλ’ οὐδὲ WH • ⸁ἕνεκεν WH Treg NIV ] εἵνεκεν RP • ⸀1ἕνεκεν WH Treg NIV ] εἵνεκεν RP 
2Co 7:13	ἡμῶν WH Treg NIV ] ὑμῶν RP
2Co 7:14	ἡ Treg NIV RP ] – WH

2Co 8:2	τὸ πλοῦτος WH Treg NIV ] τὸν πλοῦτον RP
2Co 8:3	παρὰ WH Treg NIV ] ὑπὲρ RP
2Co 8:7	ἡμῶν ἐν ὑμῖν WH NA ] ὑμῶν ἐν ἡμῖν Treg NIV RP
2Co 8:12	ἔχῃ WH Treg NIV ] + τις RP
2Co 8:13	ὑμῖν WH Treg NIV ] + δὲ RP
2Co 8:16	διδόντι WH Treg RP ] δόντι NIV
2Co 8:19	σὺν NIV RP ] ἐν WH Treg • αὐτοῦ NIV RP ] – WH Treg
2Co 8:21	προνοοῦμεν γὰρ WH Treg NIV ] προνοούμενοι RP
2Co 8:24	ἐνδεικνύμενοι Treg NIV ] ἐνδείξασθε WH RP

2Co 9:2	τὸ WH Treg NIV ] ὁ ἐξ RP
2Co 9:4	λέγωμεν WH Treg RP ] λέγω NIV • ταύτῃ WH Treg NIV ] + τῆς καυχήσεως RP
2Co 9:5	εἰς WH NIV RP ] πρὸς Treg • προεπηγγελμένην WH Treg NIV ] προκατηγγελμένην RP
2Co 9:7	προῄρηται WH Treg NIV ] προαιρεῖται RP
2Co 9:8	δυνατεῖ WH Treg NIV ] Δυνατὸς RP
2Co 9:10	σπόρον Treg NIV ] σπέρμα WH RP • χορηγήσει WH Treg NIV ] χορηγήσαι RP • πληθυνεῖ WH Treg NIV ] πληθύναι RP • αὐξήσει WH Treg NIV ] αὐξήσαι RP 
2Co 9:15	χάρις WH Treg NIV ] + δὲ RP

2Co 10:7	ἐφ᾽ WH Treg NIV ] ἀφ᾽ RP • ἡμεῖς WH Treg NIV ] + Χριστοῦ RP
2Co 10:8	τε WH NIV RP ] – Treg • γὰρ WH Treg NIV ] + καὶ RP • κύριος WH Treg NIV ] + ἡμῖν RP
2Co 10:10	ἐπιστολαὶ μέν WH Treg NIV ] μέν ἐπιστολαὶ RP
2Co 10:13	οὐκ WH Treg NIV ] οὐχὶ RP
2Co 10:18	συνιστάνων WH Treg NIV ] συνιστῶν RP

2Co 11:1	τι WH Treg NIV ] – RP • ἀφροσύνης WH Treg NIV ] τῇ ἀφροσύνῃ RP
2Co 11:3	ἐξηπάτησεν Εὕαν WH Treg NIV ] Εὕαν ἐξηπάτησεν RP • φθαρῇ WH Treg NIV ] οὕτως φθαρῇ RP • καὶ τῆς ἁγνότητος WH Treg NIV ] – RP
2Co 11:4	ἀνέχεσθε WH NIV ] ἠνείχεσθε RP; ἀνείχεσθε Treg
2Co 11:6	φανερώσαντες WH Treg NIV ] φανερωθέντες RP
2Co 11:9	ἐμαυτὸν ὑμῖν WH Treg NIV ] ὑμῖν ἐμαυτὸν RP
2Co 11:14	θαῦμα WH Treg NIV ] θαυμαστόν RP
2Co 11:17	κατὰ κύριον λαλῶ WH Treg NIV ] λαλῶ κατὰ κύριον RP
2Co 11:18	κατὰ Treg NIV ] + τὴν WH RP
2Co 11:20	εἰς πρόσωπον ὑμᾶς WH Treg NIV ] ὑμᾶς εἰς πρόσωπον RP
2Co 11:21	ἠσθενήκαμεν WH Treg NIV ] ἠσθενήσαμεν RP
2Co 11:23	φυλακαῖς περισσοτέρως, ἐν πληγαῖς ὑπερβαλλόντως WH Treg NIV ] πληγαῖς ὑπερβαλλόντως, ἐν φυλακαῖς περισσοτέρως RP
2Co 11:27	κόπῳ WH Treg NIV ] ἐν κόπῳ RP
2Co 11:28	ἐπίστασίς WH Treg NIV ] ἐπισύστασίς RP • μοι WH Treg NIV ] μου RP
2Co 11:31	Ἰησοῦ WH Treg NIV ] + Χριστοῦ RP
2Co 11:32	πόλιν Δαμασκηνῶν WH Treg NIV ] Δαμασκηνῶν πόλιν RP • με WH Treg NIV ] + θέλων RP

2Co 12:1	δεῖ WH Treg NIV ] δὴ RP • συμφέρον μέν WH Treg NIV ] συμφέρει μοι RP • δὲ WH Treg NIV ] γὰρ RP
2Co 12:3	χωρὶς WH Treg NIV ] ἐκτὸς RP
2Co 12:5	ἀσθενείαις WH Treg NIV ] + μου RP
2Co 12:6	τι NIV RP ] – WH Treg
2Co 12:7	διὸ WH Treg NIV ] – RP • Σατανᾶ WH Treg NIV ] Σατᾶν RP • ἵνα μὴ ὑπεραίρωμαι WH NIV RP ] – Treg
2Co 12:9	δύναμις WH Treg NIV ] + μου RP • τελεῖται WH Treg NIV ] τελειοῦται RP • μου Treg NIV RP ] – WH
2Co 12:10	καὶ WH NIV ] ἐν Treg RP
2Co 12:11	ἄφρων WH Treg NIV ] + καυχώμενος RP
2Co 12:12	ὑπομονῇ WH Treg NIV ] + ἐν RP • τε WH NIV ] – Treg RP
2Co 12:13	ἡσσώθητε WH Treg NIV ] ἡττήθητε RP
2Co 12:14	τοῦτο WH Treg NIV ] – RP • καταναρκήσω WH Treg NIV ] + ὑμῶν RP
2Co 12:15	εἰ WH Treg NIV ] + καὶ RP • ἀγαπῶν Treg NIV RP ] ἀγαπῶ WH 
2Co 12:19	Πάλαι WH Treg NIV ] Πάλιν RP • κατέναντι WH Treg NIV ] Κατενώπιον τοῦ RP
2Co 12:20	ἔρις WH NIV ] ἔρεις Treg RP • ζῆλος WH Treg NIV ] ζῆλοι RP
2Co 12:21	ἐλθόντος μου WH Treg NIV ] ἐλθόντα με RP • ταπεινώσῃ WH NIV ] ταπεινώσει Treg RP • με WH Treg NIV ] – RP

2Co 13:2	νῦν WH Treg NIV ] + γράφω RP
2Co 13:4	γὰρ WH Treg NIV ] + εἰ RP • ζήσομεν WH Treg NIV ] ζησόμεθα RP
2Co 13:5	Ἰησοῦς Χριστὸς WH RP NA ] Χριστὸς Ἰησοῦς Treg NIV • ὑμῖν WH Treg NIV ] + ἐστίν RP
2Co 13:7	εὐχόμεθα WH Treg NIV ] Εὐχόμαι RP
2Co 13:9	τοῦτο WH Treg NIV ] + δὲ RP
2Co 13:10	ὁ κύριος ἔδωκέν μοι WH Treg NIV ] ἔδωκέν μοι ὁ κύριος RP
2Co 13:13	ὑμῶν WH Treg NIV ] + Ἀμήν RP



